ori,,inc
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,I,0
W,V,0
W,V,0
W,V,0
W,V,0
